SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Michael Gligic,34,"$652,204",283,24,71,15,1,0,70.5,301.2,59.4,67.3,1.77,49.1,3.69
2023,Austin Cook,32,"$647,085",140,33,85,12,1,0,70.6,282.3,65.3,65.2,1.759,54.3,3.659
2023,Cody Gribble,33,"$640,107",209,23,70,14,2,0,70.5,299.9,60.5,67.5,1.78,47.9,3.814
2022,Rory Sabbatini,47,"$628,043",244,18,55,10,1,0,70.1,290,61.3,63.9,1.736,49,3.818
2023,Richy Werenski,31,"$617,783",217,37,99,14,0,0,71,300.5,58.4,62.8,1.731,53.5,3.747
2022,Henrik Norlander,36,"$613,966",235,27,72,12,1,0,70.7,291,62.3,68.1,1.788,51.6,3.361
2022,Zach Johnson,47,"$610,693",246,23,64,10,0,0,70.9,287.1,63.6,64.6,1.763,55.9,3.422
2023,Ryan Brehm,37,"$596,227",155,34,86,9,0,0,71.5,308.1,49,64.5,1.79,46.9,3.395
2023,Tano Goya,35,"$595,760",175,30,90,18,0,0,70.1,303.1,61.6,68.7,1.764,55.7,4.211
2023,Doc Redman,25,"$595,132",181,31,78,10,1,0,70.7,293.5,62.2,69.9,1.79,51.4,3.782
2022,Hank Lebioda,29,"$588,984",241,29,80,13,0,0,70.5,294.2,62.1,65.6,1.776,45.1,3.65
2022,Brice Garnett,40,"$579,670",228,29,77,12,1,0,70.6,293.7,67.3,67.2,1.8,49.1,3.468
2023,James Hahn,42,"$576,584",164,27,80,14,1,0,70.9,298.9,64.6,68.3,1.78,31.7,3.575
2022,Cameron Percy,49,"$576,053",240,17,44,8,3,0,70.2,292.3,61.4,66.8,1.756,55.6,3.795
2023,Cameron Percy,49,"$574,605",199,23,67,12,0,0,70.5,289.3,63.5,69.4,1.802,48.4,3.403
2022,Jonathan Byrd,45,"$558,025",223,20,57,10,1,0,70.4,292.9,61.3,66.2,1.778,52.4,3.491
2022,Charley Hoffman,46,"$554,475",207,25,69,13,1,0,70.9,309.6,50.3,65.2,1.772,50,3.71
2022,Austin Cook,32,"$552,226",213,25,69,12,0,0,70.8,285.5,67,64,1.765,50.5,3.478
2023,Ryan Armour,47,"$539,788",191,33,92,14,0,0,70.7,283.6,71.1,69.1,1.776,44.4,3.5
2022,Ian Poulter,47,"$537,169",179,16,44,9,0,0,70.9,295.6,62.1,62.2,1.771,54.7,3.614
2023,Jason Dufner,46,"$525,090",146,33,91,13,0,0,70.9,299.1,58,68.6,1.792,49.5,3.681
2023,Lanto Griffin,35,"$514,634",85,19,57,10,0,0,70.8,302.3,63.6,68.5,1.801,56.1,3.421
2022,Andrew Novak,28,"$513,881",233,26,76,12,0,0,70.6,297.1,56.3,65.1,1.781,48.5,3.592
2023,Martin Trainer,32,"$509,265",139,24,63,10,1,0,71,302.2,56.4,65.2,1.765,42,3.968
2023,Trevor Cone,31,"$494,936",174,30,82,13,1,0,71,314,53.6,69.6,1.802,50.4,3.78
2023,Brice Garnett,40,"$492,959",173,28,86,16,1,0,70.4,288.7,64.6,70.5,1.764,50,3.686
2023,Sean O'Hair,41,"$489,032",185,21,52,7,1,0,70.6,293.3,62.4,66.6,1.777,58.4,3.808
2023,Kevin Roy,33,"$478,670",143,31,76,9,1,0,70.5,303.4,58.4,68.5,1.781,46.5,3.868
2023,S.Y. Noh,32,"$468,487",184,23,68,15,0,0,70.6,303.7,52.6,66.7,1.734,52.3,3.882
2022,Bill Haas,41,"$466,497",194,31,90,17,0,0,70.5,300.5,55.8,64.7,1.787,54.3,3.422
2023,Brent Grant,27,"$466,212",158,33,84,12,1,0,71.1,311.2,63.6,68.4,1.8,48.7,3.869
2023,Chris Stroud,41,"$449,238",155,22,57,8,1,0,70.5,289.2,60.3,68.7,1.79,53.4,3.526
2022,Satoshi Kodaira,34,"$443,970",197,17,51,9,0,0,70.3,286.5,71.9,67,1.748,47.5,3.863
2022,Paul Barjon,31,"$436,732",168,26,71,11,1,0,71,309.4,58.8,65.5,1.765,36.4,3.676
2023,Max McGreevy,28,"$422,905",142,37,92,10,1,0,71.6,290.2,59.2,63.6,1.775,53.8,3.337
2022,Ryan Armour,47,"$412,318",186,19,50,8,0,0,70.5,286.3,74,67.6,1.793,64,3.2
2022,Luke Donald,45,"$410,042",170,22,67,11,0,0,70.5,286.5,57,65.2,1.752,57.4,3.657
2022,Joseph Bramlett,35,"$409,468",162,29,81,14,0,0,70.9,318.3,52.4,68.9,1.805,36.9,3.667
2023,Robert Streb,36,"$402,060",145,33,81,10,0,0,70.6,297.6,57,66.5,1.777,42.6,3.42
2022,Roger Sloan,36,"$388,678",151,29,73,9,0,0,71.1,296.2,58,63.5,1.749,40.5,3.781
2023,Hank Lebioda,29,"$382,836",89,24,61,7,0,0,71.5,297.6,58.7,67.6,1.805,48.9,3.262
2023,Augusto Núñez,31,"$382,748",149,32,85,13,0,0,70.8,310,56.4,68.5,1.823,48,3.506
2022,Dylan Wu,27,"$382,717",175,25,67,10,1,0,71,296.5,58.9,66.6,1.801,40.9,3.343
2022,Seth Reeves,32,"$376,574",152,26,67,9,1,0,71.1,309.4,59.9,66.3,1.755,40.2,3.866
2023,Jim Herman,46,"$372,745",95,29,77,12,0,0,71.5,290,65.9,67.5,1.834,39.6,3.286
2023,Kevin Chappell,37,"$362,455",138,21,56,9,0,0,70.5,302,55.4,68.1,1.761,48.7,3.589
2022,Sung Kang,36,"$359,397",163,31,80,12,0,0,71,293.9,60.9,66,1.767,55.7,3.775
2022,Vaughn Taylor,47,"$358,473",158,20,53,10,1,0,70.2,284.7,68.1,66.6,1.769,56.1,3.774
2022,Richy Werenski,31,"$354,791",163,26,63,8,0,0,71.6,294.9,56.1,62.8,1.751,42,3.651
2022,Brandt Snedeker,42,"$352,198",141,22,59,8,0,0,71.1,287.1,62.1,66.2,1.795,47,3.356
2022,Scott Gutschewski,47,"$351,321",158,23,56,7,1,0,70.7,296.9,58.8,68.5,1.778,50,3.518
2022,Chase Seiffert,32,"$343,305",173,19,51,9,0,0,70.8,289.7,63.4,66,1.802,46.6,3.392
2022,Curtis Thompson,30,"$338,509",136,27,64,8,1,0,71.1,309.2,53.3,63.1,1.784,50,3.453
2022,Kevin Chappell,37,"$332,336",139,20,55,10,0,0,71.1,310.1,51.8,66.5,1.755,43.2,3.8
2023,Jonathan Byrd,45,"$322,026",125,24,60,6,0,0,70.8,289.3,61.3,65.2,1.791,43.7,3.433
2022,Camilo Villegas,41,"$318,554",127,26,69,11,0,0,71.2,290.9,58.2,65.6,1.761,42.9,3.478
2022,Ben Kohles,33,"$309,955",146,24,63,10,0,0,70.7,287.3,60.7,67.5,1.742,42.4,3.857
2023,Trevor Werbylo,24,"$309,436",111,31,83,14,0,0,71.3,305.7,51.4,64.1,1.794,51,3.349
2023,Kyle Westmoreland,32,"$308,365",95,32,79,10,0,0,71.2,313.5,47.6,66.5,1.792,45.1,3.608
2022,Jim Knous,31,"$307,059",125,19,51,9,0,0,70.9,299,55.7,63.2,1.767,45.6,3.784
2023,Scott Harrington,43,"$300,546",107,31,80,10,0,0,71.1,308.1,52.7,66.4,1.773,54.2,3.888
2022,Kiradech Aphibarnrat,34,"$299,174",122,19,53,9,0,0,70.9,293,65.4,63.9,1.746,52.7,3.642
2023,Wesley Bryan,33,"$297,461",104,19,48,7,1,0,70.8,299.6,54,64.9,1.774,50.7,3.896
2023,Brian Stuard,40,"$296,420",90,29,73,9,0,0,71.2,271.5,64.7,62.4,1.737,54.7,3.411
2023,Sung Kang,36,"$292,639",98,19,49,7,0,0,71.2,289,52.1,67.2,1.752,61.4,3.633
2022,S.Y. Noh,32,"$291,033",128,22,63,13,0,0,70.7,299.2,50.3,67.1,1.76,52.1,3.873
2023,William McGirt,44,"$281,110",86,19,53,10,0,0,70.6,280,65.7,65.8,1.756,60.3,3.566
2023,Brandon Matthews,29,"$265,711",101,28,59,5,1,0,72.2,321.3,47.4,64.4,1.814,34,3.458
2023,Andrew Landry,36,"$263,815",49,29,80,13,0,0,71.4,288.4,64.2,64,1.777,52.9,3.35
2023,Nick Watney,42,"$263,725",96,32,76,7,0,0,72,295.8,48.5,63.5,1.788,47.6,3.25
2022,Brandon Hagy,32,"$261,376",106,31,78,11,0,0,71.4,317.9,48.2,62.5,1.786,52,3.718
2022,David Skinns,41,"$243,143",94,23,66,10,0,0,71.1,301.8,51.1,64.1,1.746,48.4,3.773
2022,Bo Hoag,35,"$215,072",98,20,49,7,0,0,71.4,294.9,60.1,65.4,1.797,39.7,3.204
2022,Wesley Bryan,33,"$214,572",90,19,49,7,0,0,71.4,297.2,51.8,61,1.753,58.2,3.449
2022,Jim Herman,46,"$202,105",76,19,51,7,1,0,71.1,291.8,68.3,67.6,1.815,42.3,3.216
2022,Jared Wolfe,35,"$189,112",81,23,59,7,0,0,70.8,309.6,55.7,68.6,1.809,44.9,3.492
2022,Dawie van der Walt,40,"$184,972",78,25,62,7,0,0,71.5,298.2,59.5,63.8,1.785,30.3,3.565
2023,Michael Gligic,34,"$169,449",63,32,73,7,0,0,71.8,304.6,52.6,64.2,1.807,39.8,3.11
2022,Jonas Blixt,39,"$135,079",50,21,50,5,0,0,72,296.6,58.8,58.8,1.762,43.9,3.32
2022,Brett Drewitt,32,"$121,307",42,23,58,7,0,0,71.5,295.9,56.4,64.7,1.8,45.7,3.259
2022,Jason Dufner,46,"$118,175",59,22,50,6,0,0,71.8,292.1,59.4,64.1,1.787,42.5,3.38
2022,Joshua Creel,33,"$115,976",48,22,47,4,0,0,71.8,284.6,63.6,60.4,1.781,56.1,3.191
