SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Mackenzie Hughes,32,"$2,276,212",841,27,82,16,3,0,70.7,298,57.5,62.8,1.751,51.1,3.598
2023,Chez Reavie,42,"$2,264,759",464,32,96,18,2,0,70.8,288.4,65.8,68.5,1.786,48.5,3.469
2023,Gary Woodland,39,"$2,256,535",465,24,83,18,2,0,70.7,313.8,58.2,67.9,1.805,41.1,3.675
2022,Si Woo Kim,28,"$2,234,151",815,29,98,22,1,0,70.3,301.1,64,65.6,1.765,48.2,3.847
2022,Christiaan Bezuidenhout,29,"$2,233,289",957,24,80,19,1,0,70,291.6,62.4,66,1.754,64.7,3.538
2023,David Lingmerth,36,"$2,227,332",561,32,88,13,5,0,71.1,278.5,67,61,1.745,57.6,3.511
2023,Sam Stevens,27,"$2,208,792",736,35,106,21,3,0,70.3,310.6,55.8,67.5,1.76,51,3.679
2023,Michael Kim,30,"$2,206,882",563,32,97,17,4,0,70.2,305,58.6,68.2,1.776,56,3.588
2023,Davis Thompson,24,"$2,191,482",596,30,96,21,2,0,70,310.3,60.4,69.4,1.76,54.3,3.896
2022,Trey Mullinax,31,"$2,172,365",1181,28,82,14,3,1,70.1,317.2,54.9,66.7,1.75,53.3,4.037
2022,Emiliano Grillo,31,"$2,094,647",948,28,84,15,2,0,70.1,305.6,64.1,67.9,1.756,42.9,4.048
2022,Matt Kuchar,45,"$2,051,300",764,20,71,15,3,0,69.8,287.9,63.5,63.9,1.744,64.9,3.732
2022,Marc Leishman,40,"$2,015,561",787,23,72,16,3,0,70.1,307.1,55.9,66.4,1.743,50.4,3.958
2023,Joel Dahmen,36,"$1,996,174",519,31,92,18,5,0,70.6,296.1,63.1,67.1,1.776,54.7,3.576
2022,Gary Woodland,39,"$1,992,732",601,23,69,11,5,0,70.6,309.9,56.8,66.1,1.805,48.4,3.362
